704,926,5,4
272,413,16,11
579,814,26,29
526,479,20,15
401,179,15,11
916,565,22,15
276,610,28,29
235,942,9,5
574,938,15,26
768,180,19,18
782,9,26,17
579,718,17,21
344,683,13,22
212,343,13,27
61,211,22,10
184,929,10,27
405,911,27,28
333,433,22,26
211,442,25,29
346,516,18,20
774,538,12,12
122,486,18,23
35,289,16,23
963,538,25,22
681,488,15,27
199,207,14,14
31,426,28,14
253,717,29,17
799,142,12,12
614,209,18,20
361,252,26,19
832,730,17,25
787,625,11,12
862,760,28,23
840,407,15,19
836,410,26,10
772,536,20,21
169,391,15,12
799,921,23,16
163,398,11,15
231,210,18,10
638,289,10,26
339,430,21,27
303,88,20,15
102,216,26,21
496,577,12,23
254,333,14,28
763,544,21,12
274,682,19,26
748,231,13,14
708,930,12,14
594,627,29,17
513,571,24,21
353,181,19,28
155,857,27,26
729,277,24,17
838,575,15,12
202,9,20,17
657,929,13,14
835,405,10,19
687,419,22,22
392,85,12,10
458,200,19,15
684,478,26,25
904,272,26,10
778,291,23,11
953,385,27,29
788,536,27,11
569,859,26,21
242,123,29,15
870,260,13,17
721,739,21,11
859,567,23,19
904,810,21,24
355,84,29,24
458,137,26,14
527,125,15,29
100,259,13,27
859,436,16,28
640,700,19,25
68,298,21,11
939,728,26,17
866,652,19,17
142,165,17,25
375,743,18,20
105,210,13,13
183,743,17,17
203,690,13,15
320,139,22,22
815,950,23,23
918,469,16,28
55,890,22,15
706,27,26,11
606,839,26,11
885,591,19,22
532,510,21,12
970,460,19,15
368,133,16,11
291,551,22,28
591,329,26,16
604,604,25,22
270,971,10,11
375,757,27,22
907,703,24,26
825,281,27,15
710,101,23,14
596,261,26,26
160,432,20,22
575,808,15,11
669,109,16,18
372,686,20,16
1,144,20,13
99,154,12,14
586,33,26,20
346,824,27,14
541,939,27,22
731,898,21,20
352,660,23,23
81,703,13,20
405,401,14,16
906,269,12,17
902,544,23,20
90,22,28,28
718,17,10,28
428,753,11,21
683,743,20,20
391,568,12,29
944,800,18,12
750,513,14,13
73,202,27,23
185,647,19,19
168,173,22,13
680,152,11,22
360,53,21,16
352,507,12,20
165,494,13,10
945,499,7,3
914,300,14,10
445,970,20,18
630,66,13,11
476,423,24,22
860,898,11,16
85,332,21,20
198,686,27,28
623,320,16,26
872,927,20,24
980,935,14,19
699,599,11,15
100,500,19,27
903,496,24,14
299,9,13,10
33,47,11,26
453,551,18,27
77,454,12,16
329,630,19,10
305,341,10,19
754,921,11,15
137,600,20,22
582,260,21,19
638,538,17,27
297,585,21,12
303,459,17,12
848,890,15,19
76,479,18,13
179,790,24,22
642,941,18,29
539,150,6,7
927,64,15,18
665,843,12,18
409,940,27,18
915,51,12,28
956,142,11,21
612,418,12,28
281,889,22,10
654,930,22,22
932,577,23,11
67,283,26,20
856,135,17,27
649,559,15,24
51,14,18,18
366,85,20,21
666,695,10,16
628,698,16,15
379,765,22,19
550,857,22,25
822,660,22,17
314,18,28,19
675,210,28,21
371,441,19,19
331,16,24,24
644,328,5,3
17,426,15,14
115,508,22,10
652,312,26,12
590,232,15,25
332,367,26,15
316,152,22,24
298,608,25,20
604,770,18,13
697,875,11,21
384,376,16,23
307,341,23,16
492,200,18,11
971,4,10,11
71,933,10,21
769,185,18,14
297,632,23,18
665,921,25,10
828,553,16,24
338,857,22,11
8,135,17,18
526,481,19,28
144,497,16,26
583,362,23,26
39,425,13,21
333,244,21,16
901,959,17,29
765,424,23,10
178,252,15,19
131,785,19,12
84,287,12,11
215,958,21,19
550,122,19,26
847,554,18,17
71,492,21,25
542,649,22,11
550,282,24,11
685,115,25,11
379,221,27,12
363,732,26,17
707,22,18,12
542,371,12,13
626,615,16,21
191,733,25,25
314,88,16,29
113,254,21,15
322,2,22,20
672,43,21,22
799,513,15,27
84,31,26,18
727,957,12,26
551,874,15,13
176,379,18,23
649,121,16,15
540,556,27,15
802,148,21,13
941,382,25,15
611,620,27,11
823,953,14,14
638,407,13,27
333,20,16,11
152,819,20,11
433,384,25,29
224,939,29,12
500,961,18,18
348,562,11,15
330,242,22,27
734,279,23,13
663,413,22,20
75,881,14,27
21,72,26,21
56,247,18,24
220,338,16,13
801,933,16,29
670,821,27,29
672,733,27,20
2,143,14,10
583,957,15,29
896,626,7,12
422,972,18,15
871,726,23,14
68,52,14,17
841,711,28,24
424,314,11,16
814,73,13,27
305,106,24,18
928,394,18,27
94,532,23,28
248,53,17,24
164,516,18,27
597,824,28,26
931,307,25,10
732,661,19,20
179,560,28,28
288,542,18,10
206,229,26,22
52,352,28,15
400,221,21,26
741,518,27,10
917,746,24,26
788,916,15,22
639,311,29,17
752,139,23,29
431,740,17,12
490,589,10,20
255,930,25,18
374,416,10,27
398,850,13,25
330,700,21,15
562,407,21,28
275,283,14,20
583,771,25,23
730,52,16,18
321,80,21,21
511,963,11,28
682,729,29,18
7,718,13,24
791,111,12,22
576,729,16,24
541,131,16,27
183,835,24,25
142,144,20,18
604,492,23,20
510,479,28,17
90,129,20,24
95,289,16,14
296,814,29,29
545,162,23,15
829,943,16,16
686,876,17,11
416,80,23,25
681,112,28,12
453,755,21,16
892,455,23,19
61,573,13,28
443,555,19,10
274,886,13,24
972,341,24,23
547,337,24,15
657,731,17,25
350,97,27,10
86,457,16,27
432,802,14,18
318,255,29,13
406,440,24,11
969,363,29,11
664,28,25,10
889,199,21,29
247,405,27,12
476,509,24,27
675,747,19,26
826,633,24,15
802,781,11,28
977,488,11,27
119,443,18,27
372,455,18,22
392,242,20,28
587,805,29,16
853,898,20,15
928,707,10,11
269,701,11,12
619,323,27,10
450,597,18,12
721,858,17,21
93,521,22,15
113,664,17,26
938,161,10,26
601,503,25,11
737,162,11,15
132,497,17,26
463,543,23,28
648,608,4,5
672,367,10,13
5,906,28,10
607,863,23,28
896,320,19,17
151,384,11,14
364,740,25,17
85,112,21,22
391,872,23,25
391,226,25,18
131,673,28,21
229,921,28,24
325,523,22,26
127,517,23,24
556,607,26,27
446,356,29,28
441,604,15,10
716,571,26,15
388,752,19,14
672,342,17,16
155,316,28,15
525,513,15,16
882,828,29,15
784,907,10,23
419,419,10,22
498,95,13,19
613,461,18,18
87,779,24,16
689,927,19,26
923,639,17,10
163,500,21,23
824,856,27,21
337,467,29,10
492,122,29,12
426,832,21,27
856,446,29,26
405,195,6,6
283,159,25,26
219,314,16,23
594,799,12,25
898,297,17,12
738,434,16,24
395,842,27,25
661,482,29,13
650,235,25,13
547,370,26,29
395,665,25,29
227,152,28,22
873,327,24,13
778,631,17,12
228,833,29,12
62,469,23,20
702,920,10,20
347,868,18,25
21,436,11,28
960,75,14,14
292,732,20,22
15,176,20,23
358,87,18,14
609,206,22,29
384,151,15,29
761,648,25,24
368,949,25,15
257,391,14,19
324,33,29,10
846,658,29,19
332,363,28,27
135,686,27,13
94,505,28,14
580,779,25,27
130,856,25,24
697,549,24,20
685,872,26,13
386,673,16,23
2,110,10,26
461,123,29,29
319,248,23,13
862,782,18,18
84,366,11,13
282,388,16,29
723,66,12,19
274,128,12,21
532,140,17,23
831,790,24,25
457,375,20,23
412,199,20,24
42,955,20,22
656,239,13,5
110,479,18,27
972,347,27,23
374,670,14,23
547,648,11,23
359,842,14,24
291,620,17,23
